danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Track,Artist
0.739,0.937,0,-4.271,1,0.128,0.0768,0.0,0.191,0.91,130.025,audio_features,6KD131fI0hLfrb7Uwa6jCw,spotify:track:6KD131fI0hLfrb7Uwa6jCw,https://api.spotify.com/v1/tracks/6KD131fI0hLfrb7Uwa6jCw,https://api.spotify.com/v1/audio-analysis/6KD131fI0hLfrb7Uwa6jCw,198000,4,Danza Kuduro - Cover,MUSIC LAB JPN
0.719,0.454,2,-7.384,1,0.0707,0.0138,4.83e-06,0.318,0.224,131.007,audio_features,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4,Unholy (feat. Kim Petras),Sam Smith
0.634,0.849,7,-5.552,0,0.0314,0.00247,0.0964,0.107,0.429,127.016,audio_features,3P7TBM3lLffnb9tAi8P9R3,spotify:track:3P7TBM3lLffnb9tAi8P9R3,https://api.spotify.com/v1/tracks/3P7TBM3lLffnb9tAi8P9R3,https://api.spotify.com/v1/audio-analysis/3P7TBM3lLffnb9tAi8P9R3,190866,4,Stereo Love - Melodic,Edward Maya
0.744,0.747,11,-4.281,0,0.0824,0.00691,2.03e-06,0.0739,0.368,120.077,audio_features,351KkakA2YtGEXqSEIIasy,spotify:track:351KkakA2YtGEXqSEIIasy,https://api.spotify.com/v1/tracks/351KkakA2YtGEXqSEIIasy,https://api.spotify.com/v1/audio-analysis/351KkakA2YtGEXqSEIIasy,178880,4,Supernova,aespa
0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,Me Porto Bonito,Bad Bunny
0.865,0.816,7,-4.431,1,0.126,0.0344,0.0,0.0942,0.56,95.836,audio_features,7vTdF9SYlsYI5kd5JsGyGx,spotify:track:7vTdF9SYlsYI5kd5JsGyGx,https://api.spotify.com/v1/tracks/7vTdF9SYlsYI5kd5JsGyGx,https://api.spotify.com/v1/audio-analysis/7vTdF9SYlsYI5kd5JsGyGx,264514,4,Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,Calm Down,Rema
0.801,0.793,10,-11.506,0,0.0733,0.00224,0.926,0.0614,0.449,127.994,audio_features,3nTpiixMlc9ebdt646nQyt,spotify:track:3nTpiixMlc9ebdt646nQyt,https://api.spotify.com/v1/tracks/3nTpiixMlc9ebdt646nQyt,https://api.spotify.com/v1/audio-analysis/3nTpiixMlc9ebdt646nQyt,256875,4,CARNIVAL,ýý$
0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4,Kill Bill,SZA
0.391,0.084,0,-17.843,1,0.0317,0.953,0.0,0.0983,0.111,79.449,audio_features,6wf7Yu7cxBSPrRlWeSeK0Q,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370,4,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
0.798,0.968,9,-6.889,1,0.0748,0.00452,0.908,0.0742,0.963,126.998,audio_features,7JMvAjBFlx26ZO7NPZukr0,spotify:track:7JMvAjBFlx26ZO7NPZukr0,https://api.spotify.com/v1/tracks/7JMvAjBFlx26ZO7NPZukr0,https://api.spotify.com/v1/audio-analysis/7JMvAjBFlx26ZO7NPZukr0,228724,4,Babba,Guy Mac
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4,Heat Waves,Glass Animals
